index,SongID,Performer,Song,spotify_genre,spotify_track_id,spotify_track_preview_url,spotify_track_duration_ms,spotify_track_explicit,spotify_track_album,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,spotify_track_popularity,parsed_genres,broad_genre,country,country_name,top_genre,avg_danceability,avg_energy,avg_valence,avg_tempo,avg_popularity
838,AfricaToto,Toto,Africa,"['album rock', 'mellow gold', 'rock', 'soft rock', 'yacht rock']",2374M0fQpWi3dLnB54qaLX,https://p.scdn.co/mp3-preview/dd78dafe31bb98f230372c038a126b8808f9349b?cid=b8d3901151d34489a160e3cf0ab1fa94,295893.0,False,Toto IV,0.671,0.373,9.0,-18.064,1.0,0.0323,0.257,7.9e-05,0.0481,0.7319999999999999,92.717,4.0,84.0,"['album rock', 'mellow gold', 'rock', 'soft rock', 'yacht rock']","['rock', 'easy listening', 'rock', 'rock', 'rock']",NZ,New Zealand,rock,0.640639082715511,0.6213347543247565,0.5303155654891699,125.31135768280274,86.63221398459078
877,AgainFetty Wap,Fetty Wap,Again,"['new jersey rap', 'pop rap', 'rap', 'southern hip hop', 'trap']",3ESSGgWzRf1xvP7G5hHMhB,https://p.scdn.co/mp3-preview/44fe5535ca477287a79eb1390922359bd358f8b3?cid=b8d3901151d34489a160e3cf0ab1fa94,312240.0,True,Fetty Wap (Deluxe),0.748,0.7329999999999999,11.0,-4.421,0.0,0.072,0.0062,0.0,0.329,0.2909999999999999,93.019,4.0,70.0,"['new jersey rap', 'pop rap', 'rap', 'southern hip hop', 'trap']","['hip hop', 'pop', 'hip hop', 'hip hop', 'hip hop']",US,United States,hip hop,0.6350559867002814,0.6015873667287807,0.4931279206401403,123.52053823669115,86.69067192809383
924,Ain't No Mountain High EnoughMarvin Gaye & Tammi Terrell,Marvin Gaye & Tammi Terrell,Ain't No Mountain High Enough,"['classic soul', 'funk', 'motown', 'northern soul', 'quiet storm', 'soul']",7tqhbajSfrz2F7E1Z75ASX,,151666.0,False,United,0.663,0.6,7.0,-10.87,1.0,0.032,0.43,0.0,0.184,0.8,129.991,4.0,81.0,"['classic soul', 'funk', 'motown', 'northern soul', 'quiet storm', 'soul']","['soul', 'funk', 'r&b', 'soul', 'r&b', 'soul']",GB,United Kingdom,soul,0.6231759214111573,0.640362742004876,0.5224627754672786,125.49063626368374,86.36383192313208
931,Ain't No SunshineBill Withers,Bill Withers,Ain't No Sunshine,"['classic soul', 'funk', 'motown', 'quiet storm', 'soul']",1k1Bqnv2R0uJXQN4u6LKYt,https://p.scdn.co/mp3-preview/2f56920743ab7da6d3d6331868dd23bbe72cd063?cid=b8d3901151d34489a160e3cf0ab1fa94,125093.0,False,Just As I Am,0.4789999999999999,0.4159999999999999,4.0,-11.451,0.0,0.124,0.457,1.7e-05,0.1179999999999999,0.514,79.593,4.0,77.0,"['classic soul', 'funk', 'motown', 'quiet storm', 'soul']","['soul', 'funk', 'r&b', 'r&b', 'soul']",CH,Switzerland,soul,0.6554643895348837,0.6451970094476744,0.5048730959302326,124.51583655523257,83.62365552325582
1000,AlejandroLady Gaga,Lady Gaga,Alejandro,"['dance pop', 'pop']",4lwavw59UjXUPJZtKNdFYp,,274213.0,False,The Fame Monster (Deluxe Edition),0.626,0.799,11.0,-6.612,0.0,0.046,0.000358,0.00155,0.36,0.3689999999999999,98.992,4.0,61.0,"['dance pop', 'pop']","['pop', 'pop']",BR,Brazil,pop,0.6811750460172519,0.7095291081676111,0.6538107481863789,126.94038062583463,77.04655863139278
1063,All Girls Are The SameJuice WRLD,Juice WRLD,All Girls Are The Same,"['chicago rap', 'melodic rap']",4VXIryQMWpIdGgYR4TrjT1,,165819.0,True,Goodbye & Good Riddance,0.671,0.529,0.0,-7.226,1.0,0.307,0.0768999999999999,0.000335,0.0855999999999999,0.203,161.989,4.0,88.0,"['chicago rap', 'melodic rap']","['hip hop', 'hip hop']",SA,Saudi Arabia,hip hop,0.6148001453488372,0.6533224745639534,0.5078433175872092,119.98573859011628,79.12165697674419
1108,All I Want For Christmas Is YouMariah Carey,Mariah Carey,All I Want For Christmas Is You,"['dance pop', 'pop', 'r&b', 'urban contemporary']",0bYg9bo50gSsH3LtXe2SQn,https://p.scdn.co/mp3-preview/ab4f06069148ef8510d8681164479601d4617bed?cid=b8d3901151d34489a160e3cf0ab1fa94,241106.0,False,Merry Christmas,0.335,0.625,7.0,-7.461999999999998,1.0,0.0386,0.164,0.0,0.0708,0.3459999999999999,150.277,4.0,95.0,"['dance pop', 'pop', 'r&b', 'urban contemporary']","['pop', 'pop', 'r&b', 'r&b']",UA,Ukraine,pop,0.7025175778394971,0.6512600168104078,0.5317193612045022,119.40225391024704,66.52766408419822
1109,All I Want For Christmas Is YouMariah Carey,Mariah Carey,All I Want For Christmas Is You,"['dance pop', 'pop', 'r&b', 'urban contemporary']",0bYg9bo50gSsH3LtXe2SQn,https://p.scdn.co/mp3-preview/ab4f06069148ef8510d8681164479601d4617bed?cid=b8d3901151d34489a160e3cf0ab1fa94,241106.0,False,Merry Christmas,0.335,0.625,7.0,-7.461999999999998,1.0,0.0386,0.164,0.0,0.0708,0.3459999999999999,150.277,4.0,97.0,"['dance pop', 'pop', 'r&b', 'urban contemporary']","['pop', 'pop', 'r&b', 'r&b']",UA,Ukraine,pop,0.7025175778394971,0.6512600168104078,0.5317193612045022,119.40225391024704,66.52766408419822
1155,All Of MeJohn Legend,John Legend,All Of Me,"['neo mellow', 'neo soul', 'pop', 'r&b', 'urban contemporary']",3U4isOIWM3VvDubwSI3y7a,https://p.scdn.co/mp3-preview/488c53471e56ff9f629652691444438951e880bb?cid=b8d3901151d34489a160e3cf0ab1fa94,269560.0,False,Love In The Future (Expanded Edition),0.4219999999999999,0.264,8.0,-7.064,1.0,0.0322,0.922,0.0,0.132,0.331,119.93,4.0,87.0,"['neo mellow', 'neo soul', 'pop', 'r&b', 'urban contemporary']","['pop', 'soul', 'pop', 'r&b', 'r&b']",BE,Belgium,pop,0.6578990650157034,0.6506996108443739,0.5248109328183098,125.32986502292336,83.74531605357207
1209,All The StarsKendrick Lamar & SZA,Kendrick Lamar & SZA,All The Stars,"['conscious hip hop', 'hip hop', 'rap', 'west coast rap']",3GCdLUSnKSMJhs4Tj6CV3s,,232186.0,True,Black Panther The Album Music From And Inspired By,0.698,0.633,8.0,-4.946,1.0,0.0597,0.0605,0.000194,0.0926,0.552,96.924,4.0,80.0,"['conscious hip hop', 'hip hop', 'rap', 'west coast rap']","['hip hop', 'hip hop', 'hip hop', 'hip hop']",US,United States,hip hop,0.6350559867002814,0.6015873667287807,0.4931279206401403,123.52053823669115,86.69067192809383
1316,AlrightKendrick Lamar,Kendrick Lamar,Alright,"['conscious hip hop', 'hip hop', 'rap', 'west coast rap']",3iVcZ5G6tvkXZkZKlMpIUs,,219333.0,True,To Pimp A Butterfly,0.796,0.766,7.0,-5.974,1.0,0.2379999999999999,0.0742,0.0,0.0826999999999999,0.558,110.034,4.0,74.0,"['conscious hip hop', 'hip hop', 'rap', 'west coast rap']","['hip hop', 'hip hop', 'hip hop', 'hip hop']",US,United States,hip hop,0.6350559867002814,0.6015873667287807,0.4931279206401403,123.52053823669115,86.69067192809383
1411,American KidsKenny Chesney,Kenny Chesney,American Kids,"['contemporary country', 'country', 'country road']",1dgWTMoHwTUnQhOQ8SR5fV,https://p.scdn.co/mp3-preview/b1d2cf86d9ca2eb561393b922b6e0a0ee9f12a38?cid=b8d3901151d34489a160e3cf0ab1fa94,182960.0,False,The Big Revival,0.7329999999999999,0.5889999999999999,7.0,-7.37,1.0,0.1,0.0476,6e-06,0.0366,0.8669999999999999,170.097,4.0,69.0,"['contemporary country', 'country', 'country road']","['country', 'country', 'country']",US,United States,country,0.6350559867002814,0.6015873667287807,0.4931279206401403,123.52053823669115,86.69067192809383
1734,As Good As I Once WasToby Keith,Toby Keith,As Good As I Once Was,"['contemporary country', 'country', 'country road', 'oklahoma country']",7G6l2FtQyRhQgYgut2I6i8,,227840.0,False,Honkytonk University,0.679,0.8419999999999999,5.0,-4.364,1.0,0.0376,0.275,0.0,0.135,0.72,119.013,4.0,66.0,"['contemporary country', 'country', 'country road', 'oklahoma country']","['country', 'country', 'country', 'country']",US,United States,country,0.6350559867002814,0.6015873667287807,0.4931279206401403,123.52053823669115,86.69067192809383
1817,AttentionCharlie Puth,Charlie Puth,Attention,"['dance pop', 'pop', 'post-teen pop', 'viral pop']",5cF0dROlMOK5uNZtivgu50,https://p.scdn.co/mp3-preview/d7369d506a0647ccd433c7d0ec290d8be52c186f?cid=b8d3901151d34489a160e3cf0ab1fa94,208786.0,False,Voicenotes,0.775,0.6129999999999999,3.0,-4.586,0.0,0.0542,0.109,2.3e-05,0.134,0.797,100.066,4.0,83.0,"['dance pop', 'pop', 'post-teen pop', 'viral pop']","['pop', 'pop', 'pop', 'pop']",MY,Malaysia,pop,0.5931886165950843,0.5713317140072905,0.444701898437218,123.08544891182733,82.36138881871007
1821,AugustTaylor Swift,Taylor Swift,August,"['pop', 'post-teen pop']",3hUxzQpSfdDqwM3ZTFQY0K,,261922.0,False,"{'album_type': 'album', 'artists': [{'external_urls': {'spotify': 'https://open.spotify.com/artist/06HL4z0CvFAxyc27GXpf02'}, 'href': 'https://api.spotify.com/v1/artists/06HL4z0CvFAxyc27GXpf02', 'id': '06HL4z0CvFAxyc27GXpf02', 'name': 'Taylor Swift', 'type': 'artist', 'uri': 'spotify:artist:06HL4z0CvFAxyc27GXpf02'}], 'available_markets': ['AD', 'AE', 'AG', 'AL', 'AM', 'AO', 'AR', 'AT', 'AU', 'AZ', 'BA', 'BB', 'BD', 'BE', 'BF', 'BG', 'BH', 'BI', 'BJ', 'BN', 'BO', 'BR', 'BS', 'BT', 'BW', 'BY', 'BZ', 'CA', 'CH', 'CI', 'CL', 'CM', 'CO', 'CR', 'CV', 'CW', 'CY', 'CZ', 'DE', 'DJ', 'DK', 'DM', 'DO', 'DZ', 'EC', 'EE', 'EG', 'ES', 'FI', 'FJ', 'FM', 'FR', 'GA', 'GB', 'GD', 'GE', 'GH', 'GM', 'GN', 'GQ', 'GR', 'GT', 'GW', 'GY', 'HK', 'HN', 'HR', 'HT', 'HU', 'ID', 'IE', 'IL', 'IN', 'IS', 'IT', 'JM', 'JO', 'JP', 'KE', 'KG', 'KH', 'KI', 'KM', 'KN', 'KR', 'KW', 'KZ', 'LA', 'LB', 'LC', 'LI', 'LK', 'LR', 'LS', 'LT', 'LU', 'LV', 'MA', 'MC', 'MD', 'ME', 'MG', 'MH', 'MK', 'ML', 'MN', 'MO', 'MR', 'MT', 'MU', 'MV', 'MW', 'MX', 'MY', 'MZ', 'NA', 'NE', 'NG', 'NI', 'NL', 'NO', 'NP', 'NR', 'NZ', 'OM', 'PA', 'PE', 'PG', 'PH', 'PK', 'PL', 'PS', 'PT', 'PW', 'PY', 'QA', 'RO', 'RS', 'RU', 'RW', 'SA', 'SB', 'SC', 'SE', 'SG', 'SI', 'SK', 'SL', 'SM', 'SN', 'SR', 'ST', 'SV', 'SZ', 'TD', 'TG', 'TH', 'TL', 'TN', 'TO', 'TR', 'TT', 'TV', 'TW', 'TZ', 'UA', 'UG', 'US', 'UY', 'UZ', 'VC', 'VN', 'VU', 'WS', 'XK', 'ZA', 'ZM', 'ZW'], 'external_urls': {'spotify': 'https://open.spotify.com/album/2fenSS68JI1h4Fo296JfGr'}, 'href': 'https://api.spotify.com/v1/albums/2fenSS68JI1h4Fo296JfGr', 'id': '2fenSS68JI1h4Fo296JfGr', 'images': [{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b27395f754318336a07e85ec59bc', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e0295f754318336a07e85ec59bc', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d0000485195f754318336a07e85ec59bc', 'width': 64}], 'name': 'folklore', 'release_date': '2020-07-24', 'release_date_precision': 'day', 'total_tracks': 16, 'type': 'album', 'uri': 'spotify:album:2fenSS68JI1h4Fo296JfGr'}",0.532,0.623,5.0,-9.208,1.0,0.0331,0.538,7.3e-05,0.0925,0.403,89.937,4.0,75.0,"['pop', 'post-teen pop']","['pop', 'pop']",IE,Ireland,pop,0.610120776579129,0.6172784533798263,0.5103074861065708,124.397761541535,85.8435581707893
